studierende_concept_id,studierende_concept_label,close_match_personal_ids,close_match_personal_labels,exact_match_personal_ids,exact_match_personal_labels,related_match_personal_ids , related_match_personal_labels, Bemerkungen,Nachweis zu Bemerkungen
01.009.0189,Niederdeutsch,01.100.1070,Sonstige germanische Sprachen (ohne Anglistik),,,,,abweichender Begriff
01.009.0271,Deutsch als Fremdsprache oder als Zweitsprache,01.100.1040,Deutsch als Fremdsprache oder als Zweitsprache,,,
01.010,"Anglistik, Amerikanistik",,,1110,"Anglistik, Amerikanistik",
01.010.0006,Amerikanistik/Amerikakunde,01.110.1110,Amerikanistik,,,,,abweichender Begriff/Minus
01.010.0008,Anglistik/Englisch,01.110.1100,Anglistik,,,,,abweichender Begriff/Minus
01.011,Romanistik,,,1120,Romanistik,
01.011.0059,Französisch,01.120.1210,Französische Sprach- und Literaturwissenschaft,,,,,abweichender Begriff/Plus
01.011.0084,Italienisch,01.120.1220,Italienische Sprach- und Literaturwissenschaft,,,,,abweichender Begriff/Plus
01.011.0131,Portugiesisch,01.120.1230,Iberoromanische Sprach- und Literaturwissenschaft,,,,,abweichender Begriff/Plus
01.011.0137,"Romanistik (Romanische Philologie, Einzelsprachen a.n.g.)",01.120.1200,Romanistik allgemein,,,,,abweichender Begriff/Minus
01.011.0150,Spanisch,01.120.1230,Iberoromanische Sprach- und Literaturwissenschaft,,,,,abweichender Begriff/Plus
01.012,"Slawistik, Baltistik, Finno-Ugristik",,,1130,"Slawistik, Baltistik, Finno-Ugristik",
01.012.0016,Baltistik,01.130.1350,Baltistik,,,
01.012.0056,Finno-Ugristik,01.130.1370,Finno-Ugristik,,,
01.012.0146,"Slawistik (Slaw. Philologie, ohne Sorabistik)",01.130.1300; 01.130.1310,"Slawistik, Baltistik, Finno-Ugristik allgemein | Slawistik allgemein",,,,,zwei Fachgebiete (personal ids) einen String gesetzt / ggf. als eigenen Eintrag zu erfassen
01.012.0207,Sorabistik,01.130.1347,Sorabistik,,,
01.013,Sonstige Sprach- und Kulturwissenschaften,,,1140,Sonstige Sprach- und Kulturwissenschaften,
01.013.0001,Ägyptologie,01.140.1410,Ägyptologie,,,
01.013.0002,Afrikanistik,01.140.1420,Afrikanistik,,,
01.013.0010,Arabisch/Arabistik,,,,,
01.013.0015,Außereuropäische Sprachen und Kulturen in Ozeanien und Amerika,01.140.1570; 01.140.1575,"Außereuropäische Sprachen und Kulturen Amerikas | Außereuropäische Sprachen und Kulturen Australiens",,,,,zwei Fachgebiete (personal ids) einen String gesetzt / ggf. als eigenen Eintrag zu erfassen
01.013.0073,Judaistik/Hebräisch ,01.140.1460,Judaistik/Hebräisch,,,
01.013.0078,Indologie,01.140.1490,Indologie,,,
01.013.0081,Iranistik,01.140.1480,Iranistik,,,
01.013.0083,Islamwissenschaft,01.140.1470,Islamwissenschaft,,,
01.013.0085,Japanologie,01.140.1540,Japanologie,,,
01.013.0122,"Orientalistik, Altorientalistik",01.140.1430,Altorientalistik,,,,,abweichender Begriff/Minus
01.013.0145,Sinologie/Koreanistik,01.140.1530; 01.140.1550,"Sinologie | Koreanistik",,,,,zwei Fachgebiete (personal ids) einen String gesetzt / ggf. als eigenen Eintrag zu erfassen
01.013.0158,Turkologie,01.140.1510,Turkologie,,,
01.013.0180,Kaukasistik,01.140.1465,Kaukasistik,,,
01.013.0187,Asiatische Sprachen und Kulturen/Asienwissenschaften,01.140.1495; 01.140.1520; 01.140.1560,"Sprachen und Kulturen Ostasiens allgemein | Sprachen und Kulturen Zentralasiens | Sprachen und Kulturen Südostasiens und Ozeaniens",,,,,drei Fachgebiete (personal ids) einen String gesetzt / ggf. als eigenen Eintrag zu erfassen
01.014,Kulturwissenschaften i.e.S.,,,1160,Kulturwissenschaften i.e.S.,
01.014.0024,Europäische Ethnologie und Kulturwissenschaft,01.160.1660,Europäische Ethnologie,,,,,abweichender Begriff/Minus
01.014.0173,Ethnologie,01.160.1580,Ethnologie,,,
01.014.0174,Volkskunde,01.160.1590,Volkskunde,,,
01.018,Islamische Studien/Islamische Theologie,,,1195,Islamische Studien/Islamische Theologie,
01.018.0292,Islamische Studien/Islamische Theologie,01.195.1950,Islamische Studien/Islamische Theologie,,,
01.019,Medienwissenschaft,,,1197,Medienwissenschaft,
01.019.0302,Medienwissenschaft,01.197.0130,Medienwissenschaften,,,,,
13.035,"Sport, Sportwissenschaft",,,,,,,"studierende_concept_id so nicht in pdf vorhanden, woher kommt diese Zeile?"
13.035.0029,Sportwissenschaft,02.200.2000,Sportwissenschaften allgemein,,,,,abweichender Begriff
13.022.0098,Sportpädagogik/Sportpsychologie,02.200.2020,Sportpädagogik/Sportpsychologie,,,
13,"Sozial- und Verhaltenswissenschaften, Sport",,,3,"Rechts-, Wirtschafts- und Sozialwissenschaften",
13.023,"Sozial- und Verhaltenswissenschaften, Sport allgemein",,,,,
13.023.0030,"Interdisziplinäre Studien (Schwerpunkt Sozial- und Verhaltenswissenschaften)",03.220.2210,"Interdisziplinäre Studien (Schwerpunkt Rechts-, Wirtschafts- und Sozialwissenschaften)",,,03.220.2200,"Rechts-, Wirtschafts- und Sozialwissenschaften allgemein"
13.023.0055,Orientierungsstudium Gesellschaftswissenschaften,,,,,,,no match
13.023.0154,Lernbereich Gesellschaftslehre,,,,,,,no match,
13.024,Regionalwissenschaften,,,3225,Regionalwissenschaften,
13.024.0036,Sonstige Regionalwissenschaften,,,,,
13.024.0038,Lateinamerika-Studien,03.225.2255,Lateinamerika-Studien,,,
13.024.0044,Ost- und Südosteuropa-Studien,03.225.2285,Ost- und Südosteuropa-Studien,,,
13.025,Politikwissenschaft,,,3230,Politikwissenschaft,
13.025.0129,Politikwissenschaft/Politologie,03.230.2300,Politikwissenschaft allgemein,,,,,abweichender Begriff
13.026,Sozialwissenschaften/Soziologie,,,3235,Sozialwissenschaften/Soziologie,
13.026.0147,Sozialkunde,03.235.2345,Sozialkunde,,,
13.026.0148,Sozialwissenschaften,03.235.2320,Sozialwissenschaften/Soziologie allgemein,,,,,abweichender Begriff
13.026.0149,Soziologie,03.235.2320,Sozialwissenschaften/Soziologie allgemein,,,,,abweichender Begriff
13.027,Sozialwesen,,,3240,Sozialwesen,
13.027.0208,Soziale Arbeit,03.240.2410,Soziale Arbeit,,,
13.027.0245,Sozialpädagogik,03.240.2420,Sozialpädagogik,,,
13.027.0253,Sozialwesen,03.240.2400,Sozialwesen allgemein,,,,,abweichender Begriff/Plus
11.028,Rechtswissenschaften,,,3250,Rechtswissenschaften,
11.028.0042,Wirtschaftsrecht,03.250.2640,Wirtschaftsrecht,,,
11.028.0135,Rechtswissenschaft,03.250.2500,Rechtswissenschaft allgemein,,,03.250.2630; 03.250.2670; 03.250.2665; 03.250.2620; 03.250.2580; 03.250.2540; 03.250.2545;03.250.2560; 03.250.2550; 03.250.2650; 03.250.2520; 03.250.2510; 03.250.2515; 03.250.2530; 03.250.2680; 03.250.2590; 03.250.2570; 03.250.2690,"Arbeitsrecht | Bürgerliches Recht | Europarecht | Handelsrecht | Internationales Recht und Rechtsvergleichung | Kirchenrecht | Kriminologie | Öffentliches Recht | Privatrecht (ohne Arbeitsrecht) | Prozessrecht | Rechts- und Staatsphilosophie | Rechtsgeschichte | Rechtsinformatik | Rechtssoziologie | Sozialrecht | Steuerrecht | Strafrecht | Versicherungsrecht"
11.029,Verwaltungswissenschaften,,,3270,Verwaltungswissenschaften,
11.029.0172,Verwaltungswissenschaft/-wesen,03.270.2700,Verwaltungswissenschaft allgemein,,,,,abweichender Begriff/Plus
11.029.0255,Archivwesen,03.270.2711; 03.270.2712,"Archivwesen | Bibliothekswesen",,,
11.029.0256,Rechtspflege,03.270.2610,Rechtspflege,,,
11.029.0259,Auswärtige Angelegenheiten,03.270.2730,Auswärtige Angelegenheiten,,,
11.029.0261,Innere Verwaltung,03.270.2770,Allgemeine innere Verwaltung,,,,,abweichender Begriff/Plus
11.029.0263,"Bundeswehr, Justiz und Polizei",03.270.2750; 03.270.2780; 03.270.2790,"Bundeswehrverwaltung | Justizvollzug | Polizei/Verfassungsschutz",,,
11.029.0264,"Arbeits- und Sozialverwaltung, Berufsberatung",03.270.2710; 03.270.2720; 03.270.2820,"Arbeits- und Berufsberatung | Arbeitsverwaltung | Sozialverwaltung",,,,,abweichender Begriff/Minus
11.029.0268,Verkehrswesen,03.270.2830,Verkehrswesen,,,
11.029.0269,"Finanz-, Zoll- und Steuerverwaltung",03.270.2760; 03.270.2840,"Finanzverwaltung | Zoll- und Steuerverwaltung",,,
12.030,Wirtschaftswissenschaften,,,3290,Wirtschaftswissenschaften,
