id,label,parent_id,isced_id
61,Meliorationswesen,57,581
64,Naturschutz,57,851
138,Agrarbiologie,58,621
125,Agrarökonomie,58,621
3,Agrarwissenschaft/Landwirtschaft,58,621
28,Brauwesen/Getränketechnologie,58,541
60,Gartenbau,58,622
97,Lebensmitteltechnologie,58,541
220,Milch- und Molkereiwirtschaft,58,541
353,Pflanzenproduktion,58,621
371,Tierproduktion,58,621
227,Weinbau und Kellerwirtschaft,58,541
58,"Forstwissenschaft, -wirtschaft",59,623
75,Holzwirtschaft,59,623
320,Ernährungswissenschaft,60,726
71,Haushalts- und Ernährungswissenschaft,60,814
333,Haushaltswissenschaft,60,814
140,Angewandte Systemwissenschaften,61,460
72,Interdisziplinäre Studien (Schwerpunkt Ingenieurwissenschaften),61,520
199,Lernbereich Technik,61,145
380,Mechatronik,61,520
201,Werken (technisch)/Technologie,61,145
305,Medientechnik,61,213
310,Regenerative Energien,61,523
390,Archäometrie (Ingenieurarchäologie),62,225
20,Bergbau/Bergtechnik,62,544
76,Hütten- und Gießereiwesen,62,521
103,Markscheidewesen,62,544
141,Abfallwirtschaft,63,851
143,Augenoptik,63,521
33,Chemie-Ingenieurwesen/Chemieverfahrenstechnik,63,524
231,Druck- und Reproduktionstechnik,63,213
211,Energieverfahrenstechnik,63,522
212,Feinwerktechnik,63,521
202,Fertigungs-/Produktionstechnik,63,520
215,Gesundheitstechnik,63,521
216,Glastechnik/Keramik,63,543
82,Holz-/Fasertechnik,63,543
219,Kunststofftechnik,63,543
104,Maschinenbau/-wesen,63,520
108,Metalltechnik,63,521
224,Physikalische Technik/Mechanische Verfahrenstechnik,63,520
144,Technische Kybernetik,63,520
225,Textil- und Bekleidungstechnik/-gewerbe,63,542
74,Transport-/Fördertechnik,63,544
457,Umwelttechnik (einschl. Recycling),63,851
226,Verfahrenstechnik,63,524
213,Versorgungstechnik,63,522
316,Elektrische Energietechnik,64,523
48,Elektrotechnik/Elektronik,64,523
157,Mikroelektronik,64,523
286,Mikrosystemtechnik,64,523
222,Kommunikations- und Informationstechnik,64,523
88,Optoelektronik,64,523
235,Fahrzeugtechnik,65,525
57,Luft- und Raumfahrttechnik,65,525
223,Nautik/Seefahrt,65,840
142,Schiffbau/Schiffstechnik,65,525
89,Verkehrsingenieurwesen,65,525
13,Architektur,66,581
242,Innenarchitektur,66,214
134,Raumplanung,67,581
458,Umweltschutz,67,851
17,Bauingenieurwesen/Ingenieurbau,68,582
197,Holzbau,68,582
429,Stahlbau,68,582
94,Wasserbau,68,582
77,Wasserwirtschaft,68,582
280,Kartographie,69,581
171,Vermessungswesen (Geodäsie),69,581
370,Wirtschaftsingenieurwesen mit ingenieurwissenschaftlichem Schwerpunkt,70,520
221,Bioinformatik,71,481
200,Computer- und Kommunikationstechniken,71,481
79,Informatik,71,481
123,Ingenieurinformatik/Technische Informatik,71,481
121,Medieninformatik,71,481
247,Medizinische Informatik,71,481
277,Wirtschaftsinformatik,71,481
294,Materialwissenschaft,72,543
177,Werkstofftechnik,72,543
40,"Interdiszipl. Studien (Schwerpunkt Kunst, Kunstwissenschaft)",74,145
91,Kunsterziehung,74,145
92,"Kunstgeschichte, Kunstwissenschaft",74,211
101,Restaurierungskunde,74,211
23,Bildende Kunst/Graphik,75,211
205,Bildhauerei/Plastik,75,211
204,Malerei,75,211
287,Neue Medien,75,213
7,Angewandte Kunst,76,214
159,Edelstein- und Schmuckdesign,76,214
69,Graphikdesign/Kommunikationsgestaltung,76,213
203,Industriedesign/Produktgestaltung,76,214
116,Textilgestaltung,76,214
176,Werkerziehung,76,145
35,Darstellende Kunst/Bühnenkunst/Regie,77,212
54,Film und Fernsehen,77,212
102,Schauspiel,77,212
106,Tanzpädagogik,77,212
155,Theaterwissenschaft,77,212
192,Dirigieren,78,212
230,Gesang,78,212
80,Instrumentalmusik,78,212
164,Jazz und Popularmusik,78,212
193,Kirchenmusik,78,212
191,Komposition,78,212
113,Musikerziehung,78,145
114,Musikwissenschaft/-geschichte,78,212
165,Orchestermusik,78,212
163,Rhythmik,78,212
194,Tonmeister,78,212
41,Sonstiges Orientierungsstudium,83,999
196,Studienkolleg,83,999
290,Sonstige Fächer,83,999
